Date,SPY,EFA,AGG,GLD,VNQ
2018-01-02,239.248,62.5601,100.702,125.15,69.5684
2018-01-03,240.749,62.8614,100.712,124.82,69.3669
2018-01-04,241.783,63.5502,100.642,125.46,68.1726
2018-01-05,243.408,63.9053,100.572,125.33,68.205
2018-01-08,243.843,63.8867,100.542,125.31,68.557
2018-01-09,244.377,63.9562,100.273,124.73,67.6742
2018-01-10,244.032,63.8329,100.273,125.03,66.9182
2018-01-11,245.803,64.2741,100.323,125.44,66.6892
2018-01-12,247.392,64.9188,100.303,126.96,66.1524
2018-01-16,246.559,64.8572,100.333,127.17,66.2783
2018-01-17,248.893,65.1937,100.214,126.14,66.7422
2018-01-18,248.484,65.1135,99.9847,125.86,65.8822
2018-01-19,249.633,65.4755,99.7951,126.42,66.237
2018-01-22,251.641,65.812,99.7557,126.65,66.8406
2018-01-23,252.179,66.0224,99.9747,127.28,67.7666
2018-01-24,252.081,66.1378,99.8849,128.83,67.4137
2018-01-25,252.189,65.8825,100.144,127.97,67.2948
2018-01-26,255.097,66.4646,99.9448,128.07,67.0618
2018-01-29,253.403,65.8561,99.7951,127.35,66.1613
2018-01-30,250.791,65.3092,99.6262,126.8,65.6816
2018-01-31,250.922,65.2192,99.7159,127.65,66.8593
2018-02-01,250.646,65.407,99.4071,128.07,65.4192
2018-02-02,245.191,64.0804,99.1084,126.39,64.8637
2018-02-05,234.94,61.3969,99.4968,126.71,62.936
2018-02-06,239.573,62.6051,99.2279,125.38,62.9439
2018-02-07,238.271,61.9428,98.985,124.79,62.6775
2018-02-08,229.331,60.3266,98.8017,124.98,60.8766
2018-02-09,232.767,60.5839,98.6862,124.77,62.3993
2018-02-12,236.185,61.5103,98.7161,125.37,62.4248
2018-02-13,236.778,61.3254,98.736,126.08,62.8643
2018-02-14,239.982,62.4114,98.4015,128.23,62.4091
2018-02-15,243.047,62.7998,98.5299,128.38,63.0136
2018-02-16,243.123,63.0835,98.7261,127.96,63.3587
2018-02-20,241.582,62.4906,98.6185,126.24,62.6077
2018-02-21,240.396,62.1893,98.2939,125.66,61.372
2018-02-22,240.693,62.517,98.3029,126.3,62.07
2018-02-23,244.532,63.0121,98.5688,126.14,63.0618
2018-02-26,247.373,63.604,98.6384,126.45,63.2388
2018-02-27,244.281,62.6579,98.4214,125.13,61.7662
2018-02-28,241.822,62.066,98.6962,125.0,61.7269
2018-03-01,238.299,61.0251,98.7858,124.72,61.7849
2018-03-02,239.525,61.3176,98.6285,125.39,61.7603
2018-03-05,242.26,61.6414,98.5786,125.18,62.4583
2018-03-06,242.903,62.0064,98.5986,126.53,62.7512
2018-03-07,242.809,61.9878,98.5786,125.72,63.1395
2018-03-08,244.012,62.1198,98.736,125.42,63.2575
2018-03-09,248.244,62.517,98.5498,125.54,63.6016
2018-03-12,247.929,62.5885,98.6086,125.54,63.8788
2018-03-13,246.33,62.1736,98.736,125.78,63.9407
2018-03-14,245.057,62.3233,98.8903,125.7,63.9977
2018-03-15,244.771,62.2871,98.9003,124.9,63.9819
2018-03-16,245.057,62.2431,98.8415,124.6,64.4272
2018-03-19,241.756,61.7402,98.746,124.87,63.8708
2018-03-20,242.158,61.7305,98.5986,124.31,63.6526
2018-03-21,241.697,61.8283,98.5886,126.48,63.1808
2018-03-22,235.65,60.6797,98.7659,125.98,62.8112
2018-03-23,230.634,60.0086,98.7659,127.61,61.6925
2018-03-26,236.939,61.0857,98.736,128.28,62.3973
2018-03-27,232.892,60.6357,99.0248,127.49,62.6352
2018-03-28,232.221,60.9899,99.0886,125.73,64.2081
2018-03-29,235.199,61.5465,99.3773,125.79,64.1304
2018-04-02,230.117,60.6964,99.2877,127.26,63.2643
2018-04-03,233.036,61.0857,99.1682,126.3,63.8001
2018-04-04,235.552,61.298,99.208,126.45,64.4725
2018-04-05,237.439,61.7041,99.0546,125.8,64.4469
2018-04-06,232.138,61.298,99.2877,126.39,63.9613
2018-04-09,233.256,61.8019,99.3673,126.82,63.7579
2018-04-10,236.978,62.4642,99.2977,127.12,63.6861
2018-04-11,235.725,62.2255,99.3773,128.11,63.8256
2018-04-12,237.668,62.4642,99.1582,126.62,63.113
2018-04-13,236.978,62.5249,99.1881,127.45,63.4413
2018-04-16,238.912,62.6227,99.208,127.63,63.8336
2018-04-17,241.498,62.9074,99.2379,127.75,64.5816
2018-04-18,241.658,63.2312,98.9352,127.85,64.4469
2018-04-19,240.329,62.9954,98.6962,127.6,63.512
2018-04-20,238.281,62.7567,98.4214,126.63,62.9242
2018-04-23,238.243,62.6775,98.3715,125.62,62.8732
2018-04-24,235.036,62.4212,98.2351,126.23,63.113
2018-04-25,235.611,62.3145,98.0978,125.41,62.994
2018-04-26,238.023,62.6227,98.2739,124.97,63.8188
2018-04-27,238.234,62.6843,98.4015,125.5,64.9139
2018-04-30,236.403,62.4828,98.4214,124.59,64.6573
2018-05-01,236.817,62.2617,98.3327,123.71,65.2432
2018-05-02,235.238,62.2333,98.3327,123.65,65.0043
